종목명,현재가,배당금,수익률,배당성향,ROE,PER,PBR,배당금_1년전,배당금_2년전,배당금_3년전
롯데지주우,"64,000","1,150",1.80,-21.89,-5.21,-11.47,0.42,850,0,0
한국석유,"95,800","1,500",1.57,-12.35,-5.29,-8.93,0.47,"1,500","2,000","1,500"
아시아나IDT,"15,200",500,3.29,-68.93,-5.44,-29.36,1.67,500,500,0
카카오,"325,000",127,0.04,-3.46,-5.81,-42.82,2.41,127,148,148
SK네트웍스,"5,130",120,2.34,-21.96,-5.85,-11.21,0.66,120,120,100
SK네트웍스우,"170,000",145,0.09,-21.96,-5.85,-11.21,0.66,145,145,125
제일약품,"42,650",70,0.16,-9.67,-5.96,-50.29,3.11,60,50,-
인팩,"4,765",120,2.52,-19.45,-6.29,-6.03,0.40,130,130,150
성문전자우,"10,850",5,0.05,-0.16,-6.57,-23.30,1.49,5,5,5
대구백화점,"4,725",100,2.12,-3.89,-6.93,-3.26,0.17,150,200,250
서연이화,"3,680",100,2.72,-5.81,-7.35,-2.87,0.22,100,150,150
크라운해태홀딩스,"8,320",100,1.20,-7.32,-7.49,-7.75,0.60,100,100,200
크라운해태홀딩스우,"12,300",105,0.85,-7.32,-7.49,-7.75,0.60,105,105,205
롯데쇼핑,"80,600","3,800",4.72,-11.81,-8.14,-4.21,0.36,"5,200","5,200","2,000"
LG헬로비전,"3,960",75,1.89,-6.16,-9.40,-4.97,0.49,75,75,75
JW중외제약,"34,000",316,0.93,-27.51,-10.31,-26.14,2.83,310,257,229
JW중외제약우,"59,100",348,0.59,-27.51,-10.31,-26.14,2.83,347,297,271
JW중외제약2우B,"59,000",323,0.55,-27.51,-10.31,-26.14,2.83,322,272,247
우진,"3,635",100,2.75,-17.02,-10.49,-6.77,0.74,0,0,220
평화홀딩스,"3,110",150,4.82,-15.08,-11.10,-3.82,0.43,150,150,150
롯데칠성,"100,500","2,700",2.69,-15.57,-11.68,-8.62,0.95,"2,700","3,300","1,000"
롯데칠성우,"58,000","2,705",4.66,-15.57,-11.68,-8.62,0.95,"2,705","3,305","1,005"
대림통상,"4,370",140,3.20,-18.30,-11.78,-5.39,0.69,150,150,150
해태제과식품,"8,190",150,1.83,-11.46,-13.11,-6.02,0.78,150,150,150
서연,"7,120",50,0.70,-1.81,-13.31,-1.14,0.15,50,100,150
일동홀딩스,"8,730",95,1.09,-4.79,-14.91,-5.44,0.87,182,182,136
유니온,"5,670",100,1.76,-9.25,-14.93,-3.96,0.59,100,200,70
한진칼,"97,000",255,0.26,-6.27,-17.56,-9.83,1.92,300,125,0
한진칼우,"53,600",280,0.52,-6.27,-17.56,-9.83,1.92,325,150,0
JW홀딩스,"5,050",87,1.73,-17.33,-20.18,-12.62,2.82,81,70,70
제일파마홀딩스,"19,250",70,0.36,-1.19,-20.52,-3.00,0.66,70,60,70
태양금속,"1,115",5,0.45,-0.97,-26.30,-2.58,0.80,5,5,20
태양금속우,"3,365",10,0.30,-0.97,-26.30,-2.58,0.80,10,10,25
신송홀딩스,"3,770",80,2.12,-2.75,-32.05,-1.37,0.52,0,0,80
웅진씽크빅,"2,520",310,12.32,-29.05,-35.62,-2.38,0.83,0,122,0
이수페타시스,"4,525",60,1.33,-2.62,-71.84,-1.85,2.14,70,70,100
백광산업,"3,900",75,1.92,20.10,-,6.89,0.63,50,25,0
미창석유,"57,100","2,000",3.50,17.28,-,7.79,0.47,"1,600","1,700","2,200"
삼화왕관,"43,250","1,350",3.12,29.69,-,11.75,0.58,"1,350","1,400","1,350"
영풍제지,"3,455",40,1.16,7.74,-,7.45,0.47,40,40,45
진양폴리,"3,020",100,3.31,13.24,-,5.16,1.47,0,0,0
환인제약,"14,350",300,2.09,24.50,-,15.37,0.86,300,300,250
종근당바이오,"38,950",191,0.49,8.36,-,13.20,1.00,191,381,381
LIG넥스원,"31,200",600,1.92,414.40,-,218.25,1.10,500,500,940
맥쿼리인프라,"11,400",700,6.14,-,-,-,-,622,250,400
맵스리얼티1,"4,000",247,6.18,-,-,-,-,212,226,214
베트남개발1,289,90,31.00,-,-,-,-,4,199,90
S&TC,"15,350",800,5.21,37.24,-,9.62,0.58,0,0,0
한국ANKOR유전,"1,700",185,10.88,-,-,-,-,215,265,295
한국패러랠,"2,000",165,8.25,-,-,-,-,200,205,80
미원에스씨,"79,300","1,700",2.14,22.63,-,9.57,1.51,"1,200",500,-
동아타이어,"11,100",500,4.51,27.79,-,6.86,0.48,300,0,-
우리금융지주,"8,820",700,7.94,27.00,-,4.18,0.39,-,-,-
